device_id,type,type_specific,size_inch,size_cm2,screen_body_ratio,resolution_pixel,resolution_p_width,resolution_p_lenght,resolution_ppi,resolution_ratio
10584,IPS,IPS LCD,5.45,76.7,72.2,720 x 1440,720.0,1440.0,295.0,18:9
10588,IPS,IPS LCD,6.81,112.0,82.9,1080 x 2400,1080.0,2400.0,386.0,20:9
10547,IPS,IPS LCD,5.45,76.7,71.1,720 x 1440,720.0,1440.0,295.0,18:9
10404,IPS,IPS LCD,6.39,100.2,81.9,720 x 1560,720.0,1560.0,269.0,5:9
10460,IPS,IPS LCD,6.5,102.0,80.6,720 x 1600,720.0,1600.0,270.0,20:9
10351,IPS,IPS LCD,5.99,92.6,75.2,720 x 1440,720.0,1440.0,269.0,18:9
10273,IPS,IPS LCD,6.52,102.6,77.9,720 x 1600,720.0,1600.0,269.0,20:9
10275,IPS,IPS LCD,5.45,76.7,70.3,720 x 1440,720.0,1440.0,295.0,18:9
10274,IPS,IPS LCD,5.45,76.7,70.3,720 x 1440,720.0,1440.0,295.0,18:9
10142,IPS,IPS LCD,6.81,112.0,82.9,1080 x 2400,1080.0,2400.0,386.0,20:9
10117,IPS,IPS LCD,6.55,103.6,82.3,720 x 1600,720.0,1600.0,268.0,20:9
10143,IPS,IPS LCD,5.71,81.4,77.6,720 x 1520,720.0,1520.0,295.0,19:9
