device_id,type,type_specific,size_inch,size_cm2,screen_body_ratio,resolution_pixel,resolution_p_width,resolution_p_lenght,resolution_ppi,resolution_ratio
8696,IPS,IPS LCD,5.2,74.9,64.2,1080 x 1920,1080.0,1920.0,423.0,16:9
8466,IPS,IPS LCD,5.7,84.1,78.6,1440 x 2880,1440.0,2880.0,564.0,18:9
8584,IPS,IPS LCD,5.5,83.4,69.0,720 x 1280,720.0,1280.0,267.0,16:9
8694,IPS,IPS LCD,5.7,89.6,72.1,1080 x 1920,1080.0,1920.0,386.0,16:9
8492,IPS,IPS LCD,5.7,89.6,72.1,720 x 1280,720.0,1280.0,258.0,16:9
8679,IPS,IPS LCD,5.3,77.4,67.8,720 x 1280,720.0,1280.0,277.0,16:9
8678,IPS,IPS LCD,5.3,77.4,69.3,720 x 1280,720.0,1280.0,277.0,16:9
8491,IPS,IPS LCD,5.3,77.4,69.2,720 x 1280,720.0,1280.0,277.0,16:9
8490,IPS,IPS LCD,5.0,69.4,66.6,720 x 1280,720.0,1280.0,293.0,16:9
8817,IPS,IPS LCD,5.0,68.9,63.8,480 x 854,480.0,854.0,196.0,16:9
8489,IPS,IPS LCD,5.0,69.6,66.3,480 x 854,480.0,854.0,195.0,16:9
8488,IPS,IPS LCD,4.5,55.8,59.7,480 x 854,480.0,854.0,218.0,16:9
8238,IPS,IPS LCD,5.7,90.3,72.4,1440 x 2560,1440.0,2560.0,513.0,16:9
8184,IPS,IPS LCD,5.0,68.9,66.7,720 x 1280,720.0,1280.0,294.0,16:9
8183,IPS,IPS LCD,5.5,83.4,71.5,720 x 1280,720.0,1280.0,267.0,16:9
8159,IPS,IPS LCD,5.5,83.4,71.5,720 x 1280,720.0,1280.0,267.0,16:9
8158,IPS,IPS LCD,5.5,82.2,72.0,1440 x 2560,1440.0,2560.0,538.0,16:9
8081,IPS,IPS LCD,8.0,185.6,72.2,1200 x 1920,1200.0,1920.0,283.0,16:10
8133,IPS,IPS LCD,5.3,77.4,69.4,720 x 1280,720.0,1280.0,277.0,16:9
8132,IPS,IPS LCD,5.0,68.9,66.7,720 x 1280,720.0,1280.0,294.0,16:9
8079,IPS,IPS LCD,5.7,89.6,72.6,1080 x 1920,1080.0,1920.0,386.0,16:9
8085,IPS,IPS LCD,5.7,89.6,72.7,720 x 1280,720.0,1280.0,258.0,16:9
7980,IPS,IPS LCD,5.0,68.9,66.4,480 x 854,480.0,854.0,196.0,16:9
8269,IPS,IPS LCD,4.5,55.8,61.6,480 x 854,480.0,854.0,218.0,16:9
8056,IPS,IPS LCD,5.3,77.4,70.1,1440 x 2560,1440.0,2560.0,554.0,16:9
7815,IPS,IPS LCD,5.3,77.4,70.1,1440 x 2560,1440.0,2560.0,554.0,16:9
7977,IPS,IPS LCD,5.2,74.5,68.7,1080 x 1920,1080.0,1920.0,424.0,16:9
7976,IPS,IPS LCD,4.93,67.0,65.4,720 x 1280,720.0,1280.0,298.0,16:9
7927,IPS,IPS LCD,5.0,68.9,66.7,720 x 1280,720.0,1280.0,294.0,16:9
7926,IPS,IPS LCD,5.7,89.6,72.6,720 x 1280,720.0,1280.0,258.0,16:9
7849,IPS,IPS LCD,5.3,77.4,70.9,720 x 1280,720.0,1280.0,277.0,16:9
7848,IPS,IPS LCD,5.0,68.9,66.2,480 x 854,480.0,854.0,196.0,16:9
7883,IPS,IPS LCD,4.5,55.8,63.4,480 x 854,480.0,854.0,218.0,16:9
