device_id,sound
8953,Loudspeaker
8866,Jack
8866,Loudspeaker
8783,Jack
8783,Loudspeaker
8782,Jack
8782,Loudspeaker
8892,Jack
8892,Loudspeaker
8862,Jack
8862,Loudspeaker
8808,Jack
8808,Loudspeaker
8784,Jack
8784,Loudspeaker
8811,Jack
8811,Loudspeaker
8814,Jack
8814,Loudspeaker
8810,Jack
8810,Loudspeaker
8749,Jack
8749,Loudspeaker
8801,Jack
8801,Loudspeaker
8681,Jack
8681,Loudspeaker
8579,Jack
8579,Loudspeaker
8550,Jack
8550,Loudspeaker
8502,Jack
8502,Loudspeaker
8509,Jack
8509,Loudspeaker
8503,Jack
8503,Loudspeaker
8493,Jack
8493,Loudspeaker
8467,Jack
8467,Loudspeaker
8425,Jack
8425,Loudspeaker
8384,Jack
8384,Loudspeaker
8218,Jack
8218,Loudspeaker
8207,Jack
8207,Loudspeaker
8206,Jack
8206,Loudspeaker
8197,Jack
8197,Loudspeaker
8156,Jack
8156,Loudspeaker
8130,Jack
8130,Loudspeaker
8129,Jack
8129,Loudspeaker
8106,Jack
8106,Loudspeaker
8111,Jack
8111,Loudspeaker
8262,Jack
8262,Loudspeaker
8097,Jack
8097,Loudspeaker
8095,Jack
8095,Loudspeaker
8045,Jack
8045,Loudspeaker
8048,Jack
8048,Loudspeaker
7866,Jack
7866,Loudspeaker
7733,Jack
7733,Loudspeaker
7577,Jack
7577,Loudspeaker
7368,Jack
7368,Loudspeaker
7476,Jack
7476,Loudspeaker
7475,Jack
7475,Loudspeaker
7479,Jack
7479,Loudspeaker
7757,Jack
7757,Loudspeaker
7477,Jack
7477,Loudspeaker
7478,Jack
7478,Loudspeaker
7474,Jack
7474,Loudspeaker
7473,Jack
7473,Loudspeaker
7444,Jack
7444,Loudspeaker
7378,Jack
7378,Loudspeaker
7255,Jack
7255,Loudspeaker
7256,Jack
7256,Loudspeaker
7261,Jack
7261,Loudspeaker
7044,Jack
7044,Loudspeaker
7120,Jack
7120,Loudspeaker
6917,Jack
6917,Loudspeaker
7045,Jack
7045,Loudspeaker
6982,Jack
6982,Loudspeaker
6953,Jack
6953,Loudspeaker
6918,Jack
6918,Loudspeaker
6897,Jack
6897,Loudspeaker
6737,Jack
6737,Loudspeaker
6630,Jack
6630,Loudspeaker
6629,Jack
6629,Loudspeaker
6429,Jack
6429,Loudspeaker
6428,Jack
6428,Loudspeaker
6414,Jack
6414,Loudspeaker
6413,Jack
6413,Loudspeaker
6412,Jack
6412,Loudspeaker
6394,Jack
6394,Loudspeaker
6519,Jack
6519,Loudspeaker
6238,Jack
6238,Loudspeaker
6120,Jack
6120,Loudspeaker
6853,Jack
6853,Loudspeaker
5953,Jack
5953,Loudspeaker
7160,Jack
7160,Loudspeaker
5952,Jack
5952,Loudspeaker
5891,Jack
5891,Loudspeaker
5706,Jack
5706,Loudspeaker
5675,Jack
5675,Loudspeaker
5674,Jack
5674,Loudspeaker
5494,Jack
5494,Loudspeaker
5329,Jack
5329,Loudspeaker
5328,Jack
5328,Loudspeaker
5249,Jack
5249,Loudspeaker
5091,Jack
5091,Loudspeaker
5017,Jack
5017,Loudspeaker
4850,Jack
4850,Loudspeaker
4422,Jack
4422,Loudspeaker
3965,Jack
3965,Loudspeaker
12603,0.0
12603,Loudspeaker
12459,Jack
12459,Loudspeaker
12458,Jack
12458,Loudspeaker
12457,Jack
12457,Loudspeaker
12456,Jack
12456,Loudspeaker
12153,Jack
12153,Loudspeaker
12102,Jack
12102,Loudspeaker
11830,Jack
11830,Loudspeaker
11829,Jack
11829,Loudspeaker
11828,Jack
11828,Loudspeaker
11757,0.0
11757,Loudspeaker
11716,Jack
11716,Loudspeaker
11715,Jack
11715,Loudspeaker
11673,Jack
11673,Loudspeaker
11672,Jack
11672,Loudspeaker
11643,Jack
11643,Loudspeaker
11509,Jack
11509,Loudspeaker
11368,Jack
11368,Loudspeaker
11348,Jack
11348,Loudspeaker
11319,Jack
11319,Loudspeaker
11318,Jack
11318,Loudspeaker
11258,Jack
11258,Loudspeaker
11096,Jack
11096,Loudspeaker
11095,Jack
11095,Loudspeaker
11094,Jack
11094,Loudspeaker
11073,Jack
11073,Loudspeaker
10934,Jack
10934,Loudspeaker
10935,Jack
10935,Loudspeaker
10781,Jack
10781,Loudspeaker
10745,Jack
10745,Loudspeaker
10741,Jack
10741,Loudspeaker
10730,Jack
10730,Loudspeaker
10729,Jack
10729,Loudspeaker
10731,Jack
10731,Loudspeaker
10732,Jack
10732,Loudspeaker
10607,Jack
10607,Loudspeaker
10535,Jack
10535,Loudspeaker
10537,Jack
10537,Loudspeaker
10538,Jack
10538,Loudspeaker
10540,Jack
10540,Loudspeaker
10539,Jack
10539,Loudspeaker
10470,Jack
10470,Loudspeaker
10453,Jack
10453,Loudspeaker
10403,Jack
10403,Loudspeaker
10359,Jack
10359,Loudspeaker
10313,Jack
10313,Loudspeaker
10312,Jack
10312,Loudspeaker
10160,Jack
10160,Loudspeaker
10107,Jack
10107,Loudspeaker
10106,Jack
10106,Loudspeaker
10105,Jack
10105,Loudspeaker
10047,Jack
10047,Loudspeaker
10046,Jack
10046,Loudspeaker
10045,Jack
10045,Loudspeaker
9967,Jack
9967,Loudspeaker
9930,Jack
9930,Loudspeaker
9929,Jack
9929,Loudspeaker
9855,Jack
9855,Loudspeaker
9877,Jack
9877,Loudspeaker
