Device_id,Communication Type
5242,USB
5242,WLAN
5226,Bluetooth
5226,Positioning
5226,Radio
5226,USB
5226,WLAN
5218,Bluetooth
5218,Positioning
5218,Radio
5218,USB
5218,WLAN
5139,Bluetooth
5139,Positioning
5139,Radio
5139,USB
5139,WLAN
5110,Bluetooth
5110,Positioning
5110,Radio
5110,USB
5110,WLAN
5165,Bluetooth
5165,Positioning
5165,Radio
5165,USB
5165,WLAN
5080,Bluetooth
5080,Positioning
5080,Radio
5080,USB
5080,WLAN
4663,Bluetooth
4663,Positioning
4663,Radio
4663,USB
4663,WLAN
4661,Bluetooth
4661,Positioning
4661,Radio
4661,USB
4661,WLAN
4659,Bluetooth
4659,Positioning
4659,Radio
4659,USB
4659,WLAN
4528,Bluetooth
4528,Positioning
4528,Radio
4528,USB
4528,WLAN
5685,Bluetooth
5685,Positioning
5685,USB
5685,WLAN
5690,Bluetooth
5690,Positioning
5690,USB
5690,WLAN
5070,Bluetooth
5070,USB
5070,WLAN
5061,Bluetooth
5061,Positioning
5061,USB
5061,WLAN
4910,Bluetooth
4910,Positioning
4910,USB
4910,WLAN
4212,Bluetooth
4212,Positioning
4212,USB
4212,WLAN
3275,Bluetooth
3275,Positioning
3275,USB
3275,WLAN
3716,Bluetooth
3716,Positioning
3716,USB
3716,WLAN
9634,Bluetooth
9634,Positioning
9634,Radio
9634,USB
9634,WLAN
9633,Bluetooth
9633,Positioning
9633,Radio
9633,USB
9633,WLAN
9373,Bluetooth
9373,Positioning
9373,Radio
9373,USB
9373,WLAN
9372,Bluetooth
9372,Positioning
9372,Radio
9372,USB
9372,WLAN
9194,Bluetooth
9194,Positioning
9194,Radio
9194,USB
9194,WLAN
9097,Bluetooth
9097,Positioning
9097,Radio
9097,USB
9097,WLAN
8953,Bluetooth
8953,Positioning
8953,Radio
8953,USB
8953,WLAN
8866,Bluetooth
8866,Positioning
8866,USB
8866,WLAN
8892,Bluetooth
8892,Positioning
8892,Radio
8892,USB
8892,WLAN
8862,Bluetooth
8862,Positioning
8862,Radio
8862,USB
8862,WLAN
8808,Bluetooth
8808,Positioning
8808,Radio
8808,USB
8808,WLAN
8784,Bluetooth
8784,Positioning
8784,Radio
8784,USB
8784,WLAN
8811,Bluetooth
8811,Positioning
8811,Radio
8811,USB
8811,WLAN
8814,Bluetooth
8814,Positioning
8814,USB
8814,WLAN
8810,Bluetooth
8810,Positioning
8810,USB
8810,WLAN
8749,Bluetooth
8749,Positioning
8749,Radio
8749,USB
8749,WLAN
8801,Bluetooth
8801,Positioning
8801,USB
8801,WLAN
8681,Bluetooth
8681,Positioning
8681,Radio
8681,USB
8681,WLAN
8579,Bluetooth
8579,Positioning
8579,Radio
8579,USB
8579,WLAN
8550,Bluetooth
8550,Positioning
8550,Radio
8550,USB
8550,WLAN
8502,Bluetooth
8502,Positioning
8502,Radio
8502,USB
8502,WLAN
8509,Bluetooth
8509,Positioning
8509,Radio
8509,USB
8509,WLAN
8503,Bluetooth
8503,Positioning
8503,USB
8503,WLAN
8493,Bluetooth
8493,Positioning
8493,USB
8493,WLAN
8467,Bluetooth
8467,Positioning
8467,Radio
8467,USB
8467,WLAN
8425,Bluetooth
8425,Positioning
8425,Radio
8425,USB
8425,WLAN
8218,Bluetooth
8218,Positioning
8218,USB
8218,WLAN
8207,Bluetooth
8207,Positioning
8207,Radio
8207,USB
8207,WLAN
8206,Bluetooth
8206,Positioning
8206,Radio
8206,USB
8206,WLAN
8197,Bluetooth
8197,Positioning
8197,Radio
8197,USB
8197,WLAN
8156,Bluetooth
8156,Positioning
8156,Radio
8156,USB
8156,WLAN
8130,Bluetooth
8130,Positioning
8130,Radio
8130,USB
8130,WLAN
8106,Bluetooth
8106,Positioning
8106,Radio
8106,USB
8106,WLAN
8111,Bluetooth
8111,Positioning
8111,Radio
8111,USB
8111,WLAN
8262,Bluetooth
8262,Positioning
8262,Radio
8262,USB
8262,WLAN
8097,Bluetooth
8097,Positioning
8097,Radio
8097,USB
8097,WLAN
8095,Bluetooth
8095,Positioning
8095,Radio
8095,USB
8095,WLAN
8045,Bluetooth
8045,Positioning
8045,Radio
8045,USB
8045,WLAN
8048,Bluetooth
8048,Positioning
8048,Radio
8048,USB
8048,WLAN
7866,Bluetooth
7866,Positioning
7866,Radio
7866,USB
7866,WLAN
7733,Bluetooth
7733,Positioning
7733,Radio
7733,USB
7733,WLAN
7368,Bluetooth
7368,Positioning
7368,Radio
7368,USB
7368,WLAN
7476,Bluetooth
7476,Positioning
7476,Radio
7476,USB
7476,WLAN
7475,Bluetooth
7475,Positioning
7475,Radio
7475,USB
7475,WLAN
7479,Bluetooth
7479,Positioning
7479,Radio
7479,USB
7479,WLAN
7757,Bluetooth
7757,Positioning
