Device ID,Name,Version
11706,Android,11
10981,Android,11
10980,Android,11
10679,Android,11
10680,Android,11
10682,Android,11
11659,Android,11
10618,Android,10
10490,Android,10
10016,Android,10
10017,Android,10
10018,Android,10
10019,Android,10
10042,Android,9.0
9842,Android,9.0
9843,Android,9.0
10108,Android,8.1
9837,Android,9.0
9510,Android,8.1
9511,Android,8.1
9985,Android,8.1
9574,Android,8.1
9291,Android,8.1
9012,Android,7.1
9004,Android,8.0
9084,Android,7.1
9085,Android,8.0
9086,Android,8.1
8989,Android,7.1
9093,Android,8.1
9094,Android,8.1
8844,Android,7.1
8832,Android,7.1
8843,Android,7.1
8569,Android,7.1
8377,Android,6.0
8298,Android,6.0
8205,Android,5.1
8157,Android,6.0
8449,Microsoft Windows,10
7896,Android,6.0.1
7897,Android,6.0.1
8167,Android,5.1
8230,Android,5.1
7776,Android,5.1
7720,Android,5.1.1
7570,Android,5.1
7190,Android,4.4.4
7234,Android,4.4.2
7081,Android,5.0.2
7080,Android,5.0.2
7098,Android,4.4.2
7097,Android,5.0
7096,Android,4.4.2
7095,Android,4.4.2
6936,Android,5.0.1
6934,Android,4.4.2
6933,Android,4.2.2
6979,Firefox,2.0
6774,Android,4.4.2
6773,Android,4.4.2
6732,Android,4.4.2
6712,Firefox,1.3
6657,Android,4.4
6656,Android,4.4.2
7154,Android,4.4.2
7153,Android,4.4.2
6655,Android,4.4.2
6654,Android,4.4.2
6653,Android,4.4.2
6619,Android,4.2
6599,Android,4.4.2
6516,Android,4.2
6153,Android,4.3
6152,Android,4.4.2
6151,Android,4.3
6139,Firefox,1.3
6138,Firefox,1.3
6134,Android,4.3
6130,Android,4.2
6135,Android,4.3
6131,Android,4.3
6132,Android,4.2.2
5937,Android,4.2.1
5938,Android,4.2
5741,Android,4.2
5740,Android,4.1
5693,Android,4.2
5692,Android,4.2
5687,Android,4.2
5691,Android,4.2
5671,Android,4.2
5672,Android,4.2.2
5668,Android,4.2
5669,Android,4.2
5449,Android,4.0.3
5681,Android,2.3
5318,Android,4.2.1
5319,Firefox,1.0
5332,Android,4.1.2
5231,Android,4.1
5230,Android,4.1
5229,Android,2.3
5228,Android,4.1
5242,Android,4.1
5226,Android,4.1
5218,Android,4.1
5139,Android,2.3
5110,Android,4.0
5165,Android,4.0
5080,Android,2.3.5
4663,Android,2.3.6
4661,Android,2.3
4659,Android,2.3.5
4528,Android,2.3.5
12558,iOS,17
12559,iOS,17
11773,iOS,16
11860,iOS,16
11862,iOS,16
11861,iOS,16
11410,iOS,15.4
11089,iOS,15
11102,iOS,15
11103,iOS,15
11104,iOS,15
10237,iOS,14.1
10508,iOS,14.1
10509,iOS,14.1
10510,iOS,14.1
10170,iOS,13
9846,iOS,13
9847,iOS,13
9848,iOS,13
9319,iOS,12
9318,iOS,12
9320,iOS,12
8858,iOS,11.1.1
8131,iOS,11
8573,iOS,11
8065,iOS,10.0.1
8064,iOS,10.0.1
7969,iOS,9.3.2
7243,iOS,9
7242,iOS,9
6665,iOS,8
6378,iOS,8
5685,iOS,7
5690,iOS,7
5070,iOS,6
5061,iOS,6
4910,iOS,6
4212,iOS,5
3275,iOS,4
3716,iOS,4
12380,Android,13
11656,Android,12
10892,Android,11
10893,Android,11
10393,Android,10
10379,Android,10
10296,Android,10
10328,Android,10
9770,Android,9.0
9698,Android,9.0
9634,Android,8.0
9633,Android,8.0
9410,Android,8.1
9373,Android,8
9372,Android,8.0
9224,Android,8.1
9194,Android,8.0
9173,Android,8.1
9096,Android,8.0
9061,Android,8.0
9068,Android,7.1.1
9097,Android,8
8953,Android,7
8866,Android,7
8783,Android,7.1.1
8782,Android,7.1.1
8892,Android,7
8862,Android,7.0
8808,Android,7
8784,Android,7.0
8811,Android,7
8814,Android,7
8810,Android,7
8749,Android,7
8801,Android,7.0
8681,Android,6
8579,Android,6.0
8550,Android,7
8502,Android,7
8509,Android,6.1
8503,Android,5.1
8493,Android,6.0
8467,Android,6.0
8425,Android,6.0.1
8384,Android,6.1
8218,Android,6.0
8207,Android,6.0.1
8206,Android,6.1
8197,Android,6.1
8156,Android,6.0.1
