device_id,body_dims_mm,body_lenght_mm,body_width_mm,body_height_mm,body_dims_inch,body_lenght_inch,body_width_inch,body_height_inch,body_weight_g,body_weight_oz
11706,146.7 x 71.9 x 10,146.7,71.9,10.0,5.78 x 2.83 x 0.39,5.78,2.83,0.39,172.0,6.07
10981,156.4 x 74.8 x 9.7,156.4,74.8,9.7,6.16 x 2.94 x 0.38,6.16,2.94,0.38,190.0,6.7
10980,137.6 x 65.7 x 9.8,137.6,65.7,9.8,5.42 x 2.59 x 0.39,5.42,2.59,0.39,134.0,4.73
10679,165.6 x 75.6 x 8.7,165.6,75.6,8.7,6.52 x 2.98 x 0.34,6.52,2.98,0.34,194.0,6.84
10680,165.6 x 75.6 x 8.8,165.6,75.6,8.8,6.52 x 2.98 x 0.35,6.52,2.98,0.35,190.0,6.7
10682,155.9 x 74.5 x 9.9,155.9,74.5,9.9,6.14 x 2.93 x 0.39,6.14,2.93,0.39,179.0,6.31
11659,165.2 x 75.5 x 8.9,165.2,75.5,8.9,6.50 x 2.97 x 0.35,6.5,2.97,0.35,190.0,6.7
10618,159.2 x 75.2 x 8.7,159.2,75.2,8.7,6.27 x 2.96 x 0.34,6.27,2.96,0.34,175.0,6.17
10490,165 x 75 x 9.1,165.0,75.0,9.1,6.50 x 2.95 x 0.36,6.5,2.95,0.36,186.0,6.56
10016,158.7 x 74.6 x 8.5,158.7,74.6,8.5,6.25 x 2.94 x 0.33,6.25,2.94,0.33,165.0,5.82
10017,158.7 x 74.6 x 8.5,158.7,74.6,8.5,6.25 x 2.94 x 0.33,6.25,2.94,0.33,165.0,5.82
10018,158.7 x 74.8 x 8.9,158.7,74.8,8.9,6.25 x 2.94 x 0.35,6.25,2.94,0.35,160.0,5.64
10019,146.1 x 71.6 x 9.9,146.1,71.6,9.9,5.75 x 2.82 x 0.39,5.75,2.82,0.39,168.0,5.93
10042,174.5 x 83.3 x 8.4,174.5,83.3,8.4,6.87 x 3.28 x 0.33,6.87,3.28,0.33,197.9,6.98
9842,164.9 x 75.8 x 8.4,164.9,75.8,8.4,6.49 x 2.98 x 0.33,6.49,2.98,0.33,178.0,6.28
9843,149.1 x 72.2 x 8.9,149.1,72.2,8.9,5.87 x 2.84 x 0.35,5.87,2.84,0.35,153.2,5.4
10108,209.5 x 125 x 8.3,209.5,125.0,8.3,8.25 x 4.92 x 0.33,8.25,4.92,0.33,279.0,9.84
9837,176 x 126 x 12,176.0,126.0,12.0,6.93 x 4.96 x 0.47,6.93,4.96,0.47,268.0,9.45
9510,146.4 x 68.8 x 8.3,146.4,68.8,8.3,5.76 x 2.71 x 0.33,5.76,2.71,0.33,130.0,4.59
9511,136.6 x 65.3 x 10,136.6,65.3,10.0,5.38 x 2.57 x 0.39,5.38,2.57,0.39,148.0,5.22
9985,137.6 x 65.7 x 9.8,137.6,65.7,9.8,5.42 x 2.59 x 0.39,5.42,2.59,0.39,134.0,4.73
9574,142.5 x 71.9 x 9.4,142.5,71.9,9.4,5.61 x 2.83 x 0.37,5.61,2.83,0.37,150.0,5.29
9291,162.1 x 75 x 8.6,162.1,75.0,8.6,6.38 x 2.95 x 0.34,6.38,2.95,0.34,175.0,6.17
9012,152.3 x 71.1 x 8.4,152.3,71.1,8.4,6.00 x 2.80 x 0.33,6.0,2.8,0.33,144.0,5.08
9004,162 x 76 x 8.1,162.0,76.0,8.1,6.38 x 2.99 x 0.32,6.38,2.99,0.32,155.0,5.47
9084,153.5 x 71.6 x 8.5,153.5,71.6,8.5,6.04 x 2.82 x 0.33,6.04,2.82,0.33,144.0,5.08
9085,147.1 x 68.8 x 8.5,147.1,68.8,8.5,5.79 x 2.71 x 0.33,5.79,2.71,0.33,145.0,5.11
9086,147.5 x 70.6 x 9.1,147.5,70.6,9.1,5.81 x 2.78 x 0.36,5.81,2.78,0.36,151.0,5.33
8989,161 x 76 x 7.9,161.0,76.0,7.9,6.34 x 2.99 x 0.31,6.34,2.99,0.31,169.0,5.96
9093,255 x 155 x 9.4,255.0,155.0,9.4,10.04 x 6.10 x 0.37,10.04,6.1,0.37,415.0,14.64
9094,189.5 x 111 x 9.2,189.5,111.0,9.2,7.46 x 4.37 x 0.36,7.46,4.37,0.36,245.0,8.64
8844,148.6 x 72 x 7.5,148.6,72.0,7.5,5.85 x 2.83 x 0.30,5.85,2.83,0.3,147.0,5.19
8832,148 x 73 x 7.5,148.0,73.0,7.5,5.83 x 2.87 x 0.30,5.83,2.87,0.3,155.0,5.47
8843,159.6 x 81.5 x 8.7,159.6,81.5,8.7,6.28 x 3.21 x 0.34,6.28,3.21,0.34,175.0,6.17
8569,148.6 x 70.9 x 7.4,148.6,70.9,7.4,5.85 x 2.79 x 0.29,5.85,2.79,0.29,148.8,5.26
8377,141.5 x 71.2 x 7.5,141.5,71.2,7.5,5.57 x 2.80 x 0.30,5.57,2.8,0.3,156.0,5.5
8298,150.9 x 77 x 8.1,150.9,77.0,8.1,5.94 x 3.03 x 0.32,5.94,3.03,0.32,163.9,5.78
8205,145 x 69.2 x 7,145.0,69.2,7.0,5.71 x 2.72 x 0.28,5.71,2.72,0.28,140.0,4.94
8157,140.7 x 72.7 x 9.5,140.7,72.7,9.5,5.54 x 2.86 x 0.37,5.54,2.86,0.37,148.0,5.22
8449,153.9 x 75.4 x 7,153.9,75.4,7.0,6.06 x 2.97 x 0.28,6.06,2.97,0.28,152.0,5.36
7896,153.9 x 75.4 x 7,153.9,75.4,7.0,6.06 x 2.97 x 0.28,6.06,2.97,0.28,149.0,5.26
7897,147 x 72.5 x 7.1,147.0,72.5,7.1,5.79 x 2.85 x 0.28,5.79,2.85,0.28,135.0,4.76
8167,168.5 x 86.4 x 8,168.5,86.4,8.0,6.63 x 3.40 x 0.31,6.63,3.4,0.31,179.0,6.31
8230,151.9 x 77.8 x 9.5,151.9,77.8,9.5,5.98 x 3.06 x 0.37,5.98,3.06,0.37,174.0,6.14
7776,141 x 71.5 x 9.9,141.0,71.5,9.9,5.55 x 2.81 x 0.39,5.55,2.81,0.39,167.0,5.89
7720,151.9 x 77.8 x 9.5,151.9,77.8,9.5,5.98 x 3.06 x 0.37,5.98,3.06,0.37,173.0,6.1
7570,145.8 x 70.4 x 9,145.8,70.4,9.0,5.74 x 2.77 x 0.35,5.74,2.77,0.35,140.0,4.94
7190,152.3 x 76.4 x 8,152.3,76.4,8.0,6.00 x 3.01 x 0.31,6.0,3.01,0.31,147.0,5.19
7234,133.6 x 65.3 x 9.9,133.6,65.3,9.9,5.26 x 2.57 x 0.39,5.26,2.57,0.39,144.9,5.11
7081,152.7 x 75.1 x 7.4,152.7,75.1,7.4,6.01 x 2.96 x 0.29,6.01,2.96,0.29,141.0,4.97
7080,134.6 x 65.9 x 7.6,134.6,65.9,7.6,5.30 x 2.59 x 0.30,5.3,2.59,0.3,110.0,3.88
7098,209 x 124 x 9.2,209.0,124.0,9.2,8.23 x 4.88 x 0.36,8.23,4.88,0.36,335.0,11.82
7097,191 x 109 x 9.2,191.0,109.0,9.2,7.52 x 4.29 x 0.36,7.52,4.29,0.36,260.0,9.17
7096,189 x 111 x 9.1,189.0,111.0,9.1,7.44 x 4.37 x 0.36,7.44,4.37,0.36,260.0,9.17
7095,189 x 111 x 9.1,189.0,111.0,9.1,7.44 x 4.37 x 0.36,7.44,4.37,0.36,260.0,9.17
6936,245.2 x 146.4 x 7.9,245.2,146.4,7.9,9.65 x 5.76 x 0.31,9.65,5.76,0.31,380.0,13.4
6934,132.2 x 65.1 x 10,132.2,65.1,10.0,5.20 x 2.56 x 0.39,5.2,2.56,0.39,125.0,4.41
6933,121.3 x 64.2 x 11.6,121.3,64.2,11.6,4.78 x 2.53 x 0.46,4.78,2.53,0.46,110.0,3.88
6979,112.2 x 62 x 11.9,112.2,62.0,11.9,4.42 x 2.44 x 0.47,4.42,2.44,0.47,98.0,3.46
6774,121.6 x 64.4 x 12.1,121.6,64.4,12.1,4.79 x 2.54 x 0.48,4.79,2.54,0.48,114.0,4.02
6773,112.2 x 62 x 12,112.2,62.0,12.0,4.42 x 2.44 x 0.47,4.42,2.44,0.47,101.0,3.56
6732,141 x 72.1 x 9.9,141.0,72.1,9.9,5.55 x 2.84 x 0.39,5.55,2.84,0.39,149.0,5.26
6712,112.2 x 62 x 12,112.2,62.0,12.0,4.42 x 2.44 x 0.47,4.42,2.44,0.47,93.0,3.28
6657,132.5 x 65.4 x 9.9,132.5,65.4,9.9,5.22 x 2.57 x 0.39,5.22,2.57,0.39,147.0,5.19
6656,132.5 x 65.4 x 10,132.5,65.4,10.0,5.22 x 2.57 x 0.39,5.22,2.57,0.39,147.0,5.19
7154,141 x 71.9 x 9.9,141.0,71.9,9.9,5.55 x 2.83 x 0.39,5.55,2.83,0.39,149.1,5.26
7153,121.6 x 64.5 x 11.7,121.6,64.5,11.7,4.79 x 2.54 x 0.46,4.79,2.54,0.46,121.1,4.27
6655,209 x 128 x 7.2,209.0,128.0,7.2,8.23 x 5.04 x 0.28,8.23,5.04,0.28,327.0,11.53
6654,209 x 122 x 7.3,209.0,122.0,7.3,8.23 x 4.80 x 0.29,8.23,4.8,0.29,310.0,10.93
6653,160.5 x 81.6 x 7.9,160.5,81.6,7.9,6.32 x 3.21 x 0.31,6.32,3.21,0.31,175.0,6.17
6619,112.5 x 62 x 12,112.5,62.0,12.0,4.43 x 2.44 x 0.47,4.43,2.44,0.47,100.0,3.53
6599,132.5 x 67.9 x 10,132.5,67.9,10.0,5.22 x 2.67 x 0.39,5.22,2.67,0.39,150.0,5.29
6516,122 x 64.4 x 12,122.0,64.4,12.0,4.80 x 2.54 x 0.47,4.8,2.54,0.47,116.0,4.09
6153,162.4 x 84.4 x 8.6,162.4,84.4,8.6,6.39 x 3.32 x 0.34,6.39,3.32,0.34,182.0,6.42
6152,141 x 72 x 9.4,141.0,72.0,9.4,5.55 x 2.83 x 0.37,5.55,2.83,0.37,162.0,5.71
6151,123 x 64.4 x 9.9,123.0,64.4,9.9,4.84 x 2.54 x 0.39,4.84,2.54,0.39,130.0,4.59
6139,129 x 63.5 x 8.2,129.0,63.5,8.2,5.08 x 2.5 x 0.32,5.08,2.5,0.32,103.0,3.63
6138,112.2 x 62 x 12,112.2,62.0,12.0,4.42 x 2.44 x 0.47,4.42,2.44,0.47,100.0,3.53
6134,136.5 x 69.7 x 7.5,136.5,69.7,7.5,5.37 x 2.74 x 0.30,5.37,2.74,0.3,126.0,4.44
6130,136 x 70 x 7.3,136.0,70.0,7.3,5.35 x 2.76 x 0.29,5.35,2.76,0.29,128.0,4.52
6135,129.5 x 63.5 x 8.5,129.5,63.5,8.5,5.10 x 2.5 x 0.33,5.1,2.5,0.33,116.0,4.09
6131,129 x 63.5 x 7.9,129.0,63.5,7.9,5.08 x 2.5 x 0.31,5.08,2.5,0.31,110.0,3.88
6132,97 x 56.2 x 12,97.0,56.2,12.0,3.82 x 2.21 x 0.47,3.82,2.21,0.47,78.0,2.75
5937,140.4 x 69.1 x 7.9,140.4,69.1,7.9,5.53 x 2.72 x 0.31,5.53,2.72,0.31,125.0,4.41
5938,151 x 77.5 x 9.5,151.0,77.5,9.5,5.94 x 3.05 x 0.37,5.94,3.05,0.37,189.0,6.67
5741,130.3 x 67 x 9,130.3,67.0,9.0,5.13 x 2.64 x 0.35,5.13,2.64,0.35,130.0,4.59
5740,121.5 x 64 x 11.8,121.5,64.0,11.8,4.78 x 2.52 x 0.46,4.78,2.52,0.46,136.5,4.83
5693,141 x 71.8 x 9.9,141.0,71.8,9.9,5.55 x 2.83 x 0.39,5.55,2.83,0.39,162.0,5.71
5692,131.5 x 67.9 x 11.5,131.5,67.9,11.5,5.18 x 2.67 x 0.45,5.18,2.67,0.45,157.0,5.54
5687,122 x 64.4 x 12,122.0,64.4,12.0,4.80 x 2.54 x 0.47,4.8,2.54,0.47,110.0,3.88
5691,112.5 x 62 x 12,112.5,62.0,12.0,4.43 x 2.44 x 0.47,4.43,2.44,0.47,100.0,3.53
5671,138 x 66.6 x 7.5,138.0,66.6,7.5,5.43 x 2.62 x 0.30,5.43,2.62,0.3,117.4,4.16
5672,158.5 x 80.6 x 8.5,158.5,80.6,8.5,6.24 x 3.17 x 0.33,6.24,3.17,0.33,177.6,6.24
5668,133.5 x 66.8 x 7.4,133.5,66.8,7.4,5.26 x 2.63 x 0.29,5.26,2.63,0.29,110.0,3.88
5669,127.1 x 62 x 7.9,127.1,62.0,7.9,5.00 x 2.44 x 0.31,5.0,2.44,0.31,96.0,3.39
5449,192 x 117.6 x 11.3,192.0,117.6,11.3,7.56 x 4.63 x 0.44,7.56,4.63,0.44,340.0,11.99
5681,115 x 62.3 x 12.2,115.0,62.3,12.2,4.53 x 2.45 x 0.48,4.53,2.45,0.48,118.0,4.16
5318,140.4 x 67.5 x 6.9,140.4,67.5,6.9,5.53 x 2.66 x 0.27,5.53,2.66,0.27,130.0,4.59
5319,115 x 62.3 x 12.2,115.0,62.3,12.2,4.53 x 2.45 x 0.48,4.53,2.45,0.48,108.0,3.81
5332,143 x 78.4 x 9.8,143.0,78.4,9.8,5.63 x 3.09 x 0.39,5.63,3.09,0.39,163.0,5.75
5231,134.4 x 68.5 x 6.5,134.4,68.5,6.5,5.29 x 2.70 x 0.26,5.29,2.7,0.26,115.0,4.06
5230,133 x 67.5 x 7.9,133.0,67.5,7.9,5.24 x 2.66 x 0.31,5.24,2.66,0.31,109.0,3.84
5229,115 x 62.3 x 12.2,115.0,62.3,12.2,4.53 x 2.45 x 0.48,4.53,2.45,0.48,118.0,4.16
5228,115 x 61.2 x 12.2,115.0,61.2,12.2,4.53 x 2.41 x 0.48,4.53,2.41,0.48,122.0,4.3
5242,121.5 x 64 x 11.8,121.5,64.0,11.8,4.78 x 2.52 x 0.46,4.78,2.52,0.46,136.5,4.8
5226,144 x 75 x 8.7,144.0,75.0,8.7,5.67 x 2.95 x 0.34,5.67,2.95,0.34,135.0,4.76
5218,144 x 75 x 8.5,144.0,75.0,8.5,5.67 x 2.95 x 0.33,5.67,2.95,0.33,135.0,4.76
5139,114.5 x 61 x 12.5,114.5,61.0,12.5,4.51 x 2.40 x 0.49,4.51,2.4,0.49,136.0,4.8
5110,129.8 x 68 x 11,129.8,68.0,11.0,5.11 x 2.68 x 0.43,5.11,2.68,0.43,143.0,5.04
5165,129.8 x 68 x 11,129.8,68.0,11.0,5.11 x 2.68 x 0.43,5.11,2.68,0.43,143.0,5.04
5080,119.9 x 66 x 13.7,119.9,66.0,13.7,4.72 x 2.60 x 0.54,4.72,2.6,0.54,155.0,5.47
4663,116 x 61.8 x 12.5,116.0,61.8,12.5,4.57 x 2.43 x 0.49,4.57,2.43,0.49,136.0,4.8
4661,128 x 68 x 9.8,128.0,68.0,9.8,5.04 x 2.68 x 0.39,5.04,2.68,0.39,124.0,4.37
4659,112 x 58.6 x 12.1,112.0,58.6,12.1,4.41 x 2.31 x 0.48,4.41,2.31,0.48,123.0,4.34
4528,112 x 58.6 x 12.1,112.0,58.6,12.1,4.41 x 2.31 x 0.48,4.41,2.31,0.48,123.0,4.34
12558,160.9 x 77.8 x 7.8,160.9,77.8,7.8,6.33 x 3.06 x 0.31,6.33,3.06,0.31,201.0,7.09
12559,147.6 x 71.6 x 7.8,147.6,71.6,7.8,5.81 x 2.82 x 0.31,5.81,2.82,0.31,171.0,6.03
11773,160.7 x 77.6 x 7.9,160.7,77.6,7.9,6.33 x 3.06 x 0.31,6.33,3.06,0.31,240.0,8.47
11860,147.5 x 71.5 x 7.9,147.5,71.5,7.9,5.81 x 2.81 x 0.31,5.81,2.81,0.31,206.0,7.27
11862,160.8 x 78.1 x 7.8,160.8,78.1,7.8,6.33 x 3.07 x 0.31,6.33,3.07,0.31,203.0,7.16
11861,146.7 x 71.5 x 7.8,146.7,71.5,7.8,5.78 x 2.81 x 0.31,5.78,2.81,0.31,172.0,6.07
11410,138.4 x 67.3 x 7.3,138.4,67.3,7.3,5.45 x 2.65 x 0.29,5.45,2.65,0.29,144.0,5.08
11089,160.8 x 78.1 x 7.7,160.8,78.1,7.7,6.33 x 3.07 x 0.30,6.33,3.07,0.3,240.0,8.47
11102,146.7 x 71.5 x 7.7,146.7,71.5,7.7,5.78 x 2.81 x 0.30,5.78,2.81,0.3,204.0,7.2
11103,146.7 x 71.5 x 7.7,146.7,71.5,7.7,5.78 x 2.81 x 0.30,5.78,2.81,0.3,174.0,6.14
11104,131.5 x 64.2 x 7.7,131.5,64.2,7.7,5.18 x 2.53 x 0.30,5.18,2.53,0.3,141.0,4.97
10237,160.8 x 78.1 x 7.4,160.8,78.1,7.4,6.33 x 3.07 x 0.29,6.33,3.07,0.29,228.0,8.04
10508,146.7 x 71.5 x 7.4,146.7,71.5,7.4,5.78 x 2.81 x 0.29,5.78,2.81,0.29,189.0,6.67
10509,146.7 x 71.5 x 7.4,146.7,71.5,7.4,5.78 x 2.81 x 0.29,5.78,2.81,0.29,164.0,5.78
10510,131.5 x 64.2 x 7.4,131.5,64.2,7.4,5.18 x 2.53 x 0.29,5.18,2.53,0.29,135.0,4.76
10170,138.4 x 67.3 x 7.3,138.4,67.3,7.3,5.45 x 2.65 x 0.29,5.45,2.65,0.29,148.0,5.22
9846,158 x 77.8 x 8.1,158.0,77.8,8.1,6.22 x 3.06 x 0.32,6.22,3.06,0.32,226.0,7.97
9847,144 x 71.4 x 8.1,144.0,71.4,8.1,5.67 x 2.81 x 0.32,5.67,2.81,0.32,188.0,6.63
9848,150.9 x 75.7 x 8.3,150.9,75.7,8.3,5.94 x 2.98 x 0.33,5.94,2.98,0.33,194.0,6.84
9319,157.5 x 77.4 x 7.7,157.5,77.4,7.7,6.20 x 3.05 x 0.30,6.2,3.05,0.3,208.0,7.34
9318,143.6 x 70.9 x 7.7,143.6,70.9,7.7,5.65 x 2.79 x 0.30,5.65,2.79,0.3,177.0,6.24
9320,150.9 x 75.7 x 8.3,150.9,75.7,8.3,5.94 x 2.98 x 0.33,5.94,2.98,0.33,194.0,6.84
8858,143.6 x 70.9 x 7.7,143.6,70.9,7.7,5.65 x 2.79 x 0.30,5.65,2.79,0.3,174.0,6.14
8131,158.4 x 78.1 x 7.5,158.4,78.1,7.5,6.24 x 3.07 x 0.30,6.24,3.07,0.3,202.0,7.13
8573,138.4 x 67.3 x 7.3,138.4,67.3,7.3,5.45 x 2.65 x 0.29,5.45,2.65,0.29,148.0,5.22
8065,158.2 x 77.9 x 7.3,158.2,77.9,7.3,6.23 x 3.07 x 0.29,6.23,3.07,0.29,188.0,6.63
8064,138.3 x 67.1 x 7.1,138.3,67.1,7.1,5.44 x 2.64 x 0.28,5.44,2.64,0.28,138.0,4.87
7969,123.8 x 58.6 x 7.6,123.8,58.6,7.6,4.87 x 2.31 x 0.30,4.87,2.31,0.3,113.0,3.99
7243,158.2 x 77.9 x 7.3,158.2,77.9,7.3,6.23 x 3.07 x 0.29,6.23,3.07,0.29,192.0,6.77
7242,138.3 x 67.1 x 7.1,138.3,67.1,7.1,5.44 x 2.64 x 0.28,5.44,2.64,0.28,143.0,5.04
6665,158.1 x 77.8 x 7.1,158.1,77.8,7.1,6.22 x 3.06 x 0.28,6.22,3.06,0.28,172.0,6.07
6378,138.1 x 67 x 6.9,138.1,67.0,6.9,5.44 x 2.64 x 0.27,5.44,2.64,0.27,129.0,4.55
5685,123.8 x 58.6 x 7.6,123.8,58.6,7.6,4.87 x 2.31 x 0.30,4.87,2.31,0.3,112.0,3.95
5690,124.4 x 59.2 x 9,124.4,59.2,9.0,4.90 x 2.33 x 0.35,4.9,2.33,0.35,132.0,4.66
5070,200 x 134.7 x 7.2,200.0,134.7,7.2,7.87 x 5.30 x 0.28,7.87,5.3,0.28,308.0,10.86
5061,200 x 134.7 x 7.2,200.0,134.7,7.2,7.87 x 5.30 x 0.28,7.87,5.3,0.28,312.0,11.01
4910,123.8 x 58.6 x 7.6,123.8,58.6,7.6,4.87 x 2.31 x 0.30,4.87,2.31,0.3,112.0,3.95
4212,115.2 x 58.6 x 9.3,115.2,58.6,9.3,4.54 x 2.31 x 0.37,4.54,2.31,0.37,140.0,4.94
3275,115.2 x 58.6 x 9.3,115.2,58.6,9.3,4.54 x 2.31 x 0.37,4.54,2.31,0.37,137.0,4.83
3716,115.2 x 58.6 x 9.3,115.2,58.6,9.3,4.54 x 2.31 x 0.37,4.54,2.31,0.37,137.0,4.83
12380,146.5 x 68.1 x 9.4,146.5,68.1,9.4,5.77 x 2.68 x 0.37,5.77,2.68,0.37,172.0,6.07
11656,146.5 x 68.1 x 9.1,146.5,68.1,9.1,5.77 x 2.68 x 0.36,5.77,2.68,0.36,169.0,5.96
10892,165 x 77.3 x 9.6,165.0,77.3,9.6,6.50 x 3.04 x 0.38,6.5,3.04,0.38,230.0,8.11
10893,148 x 68.5 x 8.9,148.0,68.5,8.9,5.83 x 2.70 x 0.35,5.83,2.7,0.35,169.0,5.96
10393,165.1 x 77.3 x 9.6,165.1,77.3,9.6,6.5 x 3.04 x 0.38,6.5,3.04,0.38,230.0,8.11
10379,165.1 x 77.3 x 9.6,165.1,77.3,9.6,6.5 x 3.04 x 0.38,6.5,3.04,0.38,230.0,8.11
10296,171 x 78 x 9.9,171.0,78.0,9.9,6.73 x 3.07 x 0.39,6.73,3.07,0.39,240.0,8.47
10328,171 x 78 x 9.9,171.0,78.0,9.9,6.73 x 3.07 x 0.39,6.73,3.07,0.39,240.0,8.47
9770,171 x 77.6 x 9.5,171.0,77.6,9.5,6.73 x 3.06 x 0.37,6.73,3.06,0.37,240.0,8.47
9698,159.1 x 75.4 x 9.2,159.1,75.4,9.2,6.26 x 2.97 x 0.36,6.26,2.97,0.36,190.0,6.7
9634,159.2 x 76.2 x 8.4,159.2,76.2,8.4,6.27 x 3.00 x 0.33,6.27,3.0,0.33,165.0,5.82
9633,159.2 x 76.2 x 8.4,159.2,76.2,8.4,6.27 x 3.00 x 0.33,6.27,3.0,0.33,165.0,5.82
9410,157.9 x 75.5 x 8.5,157.9,75.5,8.5,6.22 x 2.97 x 0.33,6.22,2.97,0.33,175.0,6.17
9373,147.3 x 70.9 x 8.7,147.3,70.9,8.7,5.80 x 2.79 x 0.34,5.8,2.79,0.34,150.0,5.29
9372,147.3 x 71.8 x 8.2,147.3,71.8,8.2,5.80 x 2.83 x 0.32,5.8,2.83,0.32,140.0,4.94
9224,158.8 x 76.2 x 8.3,158.8,76.2,8.3,6.25 x 3.00 x 0.33,6.25,3.0,0.33,200.0,7.05
9194,147.3 x 71.8 x 8.2,147.3,71.8,8.2,5.80 x 2.83 x 0.32,5.8,2.83,0.32,140.0,4.94
9173,159 x 76 x 8.5,159.0,76.0,8.5,6.26 x 2.99 x 0.33,6.26,2.99,0.33,180.0,6.35
9096,153 x 75.7 x 7.9,153.0,75.7,7.9,6.02 x 2.98 x 0.31,6.02,2.98,0.31,165.0,5.82
9061,153 x 75.7 x 7.7,153.0,75.7,7.7,6.02 x 2.98 x 0.30,6.02,2.98,0.3,165.0,5.82
9068,160.6 x 76.2 x 7.8,160.6,76.2,7.8,6.32 x 3.00 x 0.31,6.32,3.0,0.31,168.0,5.93
9097,147.3 x 70.9 x 8.7,147.3,70.9,8.7,5.80 x 2.79 x 0.34,5.8,2.79,0.34,150.0,5.29
8953,152.6 x 73 x 8.8,152.6,73.0,8.8,6.01 x 2.87 x 0.35,6.01,2.87,0.35,160.0,5.64
8866,146.6 x 72.6 x 7.6,146.6,72.6,7.6,5.77 x 2.86 x 0.30,5.77,2.86,0.3,147.1,5.19
8783,156.9 x 75.6 x 7.6,156.9,75.6,7.6,6.18 x 2.98 x 0.30,6.18,2.98,0.3,175.0,6.17
8782,155.4 x 75.2 x 7.7,155.4,75.2,7.7,6.12 x 2.96 x 0.30,6.12,2.96,0.3,165.0,5.82
8892,155.7 x 75.9 x 7.9,155.7,75.9,7.9,6.13 x 2.99 x 0.31,6.13,2.99,0.31,144.0,5.08
8862,155.7 x 75.9 x 7.9,155.7,75.9,7.9,6.13 x 2.99 x 0.31,6.13,2.99,0.31,144.0,5.08
8808,154 x 74.8 x 6.9,154.0,74.8,6.9,6.06 x 2.94 x 0.27,6.06,2.94,0.27,147.0,5.19
8784,155.7 x 75.9 x 7.9,155.7,75.9,7.9,6.13 x 2.99 x 0.31,6.13,2.99,0.31,144.0,5.08
8811,150.5 x 73.3 x 8.8,150.5,73.3,8.8,5.93 x 2.89 x 0.35,5.93,2.89,0.35,156.0,5.5
8814,154 x 76.9 x 8.9,154.0,76.9,8.9,6.06 x 3.03 x 0.35,6.06,3.03,0.35,181.0,6.38
8810,154 x 76.9 x 8.9,154.0,76.9,8.9,6.06 x 3.03 x 0.35,6.06,3.03,0.35,181.0,6.38
8749,154 x 76.9 x 8.9,154.0,76.9,8.9,6.06 x 3.03 x 0.35,6.06,3.03,0.35,181.0,6.38
8801,204 x 133.9 x 6.9,204.0,133.9,6.9,8.03 x 5.27 x 0.27,8.03,5.27,0.27,306.0,10.79
8681,153.4 x 76.4 x 10.9,153.4,76.4,10.9,6.04 x 3.01 x 0.43,6.04,3.01,0.43,168.0,5.93
8579,141.2 x 71.7 x 8,141.2,71.7,8.0,5.56 x 2.82 x 0.31,5.56,2.82,0.31,120.0,4.23
8550,149.5 x 73.7 x 8.9,149.5,73.7,8.9,5.89 x 2.90 x 0.35,5.89,2.9,0.35,175.0,5.22
8502,158.7 x 77.7 x 9,158.7,77.7,9.0,6.25 x 3.06 x 0.35,6.25,3.06,0.35,170.0,6.0
8509,154.3 x 77 x 8,154.3,77.0,8.0,6.07 x 3.03 x 0.31,6.07,3.03,0.31,170.0,6.0
8503,188 x 101.4 x 8.9,188.0,101.4,8.9,7.40 x 3.99 x 0.35,7.4,3.99,0.35,270.0,9.52
8493,205.4 x 136.4 x 7.6,205.4,136.4,7.6,8.09 x 5.37 x 0.30,8.09,5.37,0.3,320.0,11.29
8467,143.7 x 70.9 x 11.3,143.7,70.9,11.3,5.66 x 2.79 x 0.44,5.66,2.79,0.44,150.0,5.29
8425,151.4 x 76.2 x 8.3,151.4,76.2,8.3,5.96 x 3.00 x 0.33,5.96,3.0,0.33,175.0,6.17
8384,151.5 x 76.7 x 7.8,151.5,76.7,7.8,5.96 x 3.02 x 0.31,5.96,3.02,0.31,151.0,5.33
8218,240.5 x 163.7 x 7.2,240.5,163.7,7.2,9.47 x 6.44 x 0.28,9.47,6.44,0.28,430.0,15.17
8207,149.5 x 73.7 x 8.6,149.5,73.7,8.6,5.89 x 2.90 x 0.34,5.89,2.9,0.34,148.0,5.22
8206,149 x 76 x 7.9,149.0,76.0,7.9,5.87 x 2.99 x 0.31,5.87,2.99,0.31,150.0,5.29
8197,146.9 x 74 x 7.7,146.9,74.0,7.7,5.78 x 2.91 x 0.30,5.78,2.91,0.3,144.0,5.08
8156,149.5 x 73.7 x 8.6,149.5,73.7,8.6,5.89 x 2.90 x 0.34,5.89,2.9,0.34,158.4,5.57
8130,186.4 x 93.9 x 6.8,186.4,93.9,6.8,7.34 x 3.70 x 0.27,7.34,3.7,0.27,233.0,8.22
8129,156.4 x 77.4 x 7.5,156.4,77.4,7.5,6.16 x 3.05 x 0.30,6.16,3.05,0.3,170.0,6.0
8106,152.6 x 77.4 x 7.7,152.6,77.4,7.7,6.01 x 3.05 x 0.30,6.01,3.05,0.3,155.0,5.47
8111,156 x 77.5 x 10.6,156.0,77.5,10.6,6.14 x 3.05 x 0.42,6.14,3.05,0.42,202.0,7.13
8262,136.5 x 66.7 x 11.2,136.5,66.7,11.2,5.37 x 2.63 x 0.44,5.37,2.63,0.44,135.0,4.76
8097,136.5 x 66.7 x 11.2,136.5,66.7,11.2,5.37 x 2.63 x 0.44,5.37,2.63,0.44,125.0,4.41
