device_id,body_dims_mm,body_lenght_mm,body_width_mm,body_height_mm,body_dims_inch,body_lenght_inch,body_width_inch,body_height_inch,body_weight_g,body_weight_oz
4289,128 x 67 x 13,128.0,67.0,13.0,5.04 x 2.64 x 0.51,5.04,2.64,0.51,172.0,6.07
4287,122 x 64 x 9,122.0,64.0,9.0,4.80 x 2.52 x 0.35,4.8,2.52,0.35,112.0,3.95
4037,122 x 64 x 9.2,122.0,64.0,9.2,4.80 x 2.52 x 0.36,4.8,2.52,0.36,109.0,3.84
4040,119.5 x 59.7 x 12.9,119.5,59.7,12.9,4.70 x 2.35 x 0.51,4.7,2.35,0.51,129.0,4.55
3886,128.8 x 68 x 11.9,128.8,68.0,11.9,5.07 x 2.68 x 0.47,5.07,2.68,0.47,168.0,5.93
3759,128.8 x 68 x 11.9,128.8,68.0,11.9,5.07 x 2.68 x 0.47,5.07,2.68,0.47,168.0,5.93
3704,122 x 64 x 9.2,122.0,64.0,9.2,4.80 x 2.52 x 0.36,4.8,2.52,0.36,109.0,3.84
3762,123.9 x 63.2 x 10.9,123.9,63.2,10.9,4.88 x 2.49 x 0.43,4.88,2.49,0.43,139.0,4.9
3598,123.9 x 63.2 x 10.9,123.9,63.2,10.9,4.88 x 2.49 x 0.43,4.88,2.49,0.43,139.0,4.9
3731,115.8 x 56.4 x 15.8,115.8,56.4,15.8,4.56 x 2.22 x 0.62,4.56,2.22,0.62,158.0,5.57
3558,119.5 x 59.5 x 15.2,119.5,59.5,15.2,4.70 x 2.34 x 0.60,4.7,2.34,0.6,176.0,6.21
3532,125 x 59.8 x 11.5,125.0,59.8,11.5,4.92 x 2.35 x 0.45,4.92,2.35,0.45,157.0,5.54
3516,113.5 x 59 x 13.3,113.5,59.0,13.3,4.47 x 2.32 x 0.52,4.47,2.32,0.52,129.0,4.55
3081,109 x 54.5 x 12.7,109.0,54.5,12.7,4.29 x 2.15 x 0.5,4.29,2.15,0.5,115.5,4.06
12471,165.1 x 75.7 x 8.6,165.1,75.7,8.6,6.5 x 2.98 x 0.34,6.5,2.98,0.34,195.1,6.88
12381,165 x 75.8 x 8.6,165.0,75.8,8.6,6.50 x 2.98 x 0.34,6.5,2.98,0.34,193.8,6.84
12321,160.8 x 74 x 8.5,160.8,74.0,8.5,6.33 x 2.91 x 0.33,6.33,2.91,0.33,172.0,6.07
12244,168 x 78.6 x 10.5,168.0,78.6,10.5,6.61 x 3.09 x 0.41,6.61,3.09,0.41,231.0,8.15
12184,160.6 x 74.3 x 8.8,160.6,74.3,8.8,6.32 x 2.93 x 0.35,6.32,2.93,0.35,177.4,6.24
12139,164.6 x 75.9 x 8.6,164.6,75.9,8.6,6.48 x 2.99 x 0.34,6.48,2.99,0.34,199.4,7.02
12137,165 x 76.2 x 8.5,165.0,76.2,8.5,6.50 x 3.00 x 0.33,6.5,3.0,0.33,196.2,6.91
12085,160.6 x 74.3 x 8.8,160.6,74.3,8.8,6.32 x 2.93 x 0.35,6.32,2.93,0.35,177.4,6.24
11831,158.9 x 73.9 x 8,158.9,73.9,8.0,6.26 x 2.91 x 0.31,6.26,2.91,0.31,185.0,6.53
11826,166 x 75.9 x 8.6,166.0,75.9,8.6,6.54 x 2.99 x 0.34,6.54,2.99,0.34,190.0,6.7
11825,169.2 x 78 x 8.6,169.2,78.0,8.6,6.66 x 3.07 x 0.34,6.66,3.07,0.34,200.0,7.05
11669,208 x 123.2 x 9,208.0,123.2,9.0,8.19 x 4.85 x 0.35,8.19,4.85,0.35,375.0,13.23
11644,164.8 x 75.9 x 8.6,164.8,75.9,8.6,6.49 x 2.99 x 0.34,6.49,2.99,0.34,192.0,6.77
11629,156.5 x 73.1 x 8.8,156.5,73.1,8.8,6.16 x 2.88 x 0.35,6.16,2.88,0.35,172.5,6.1
11381,164.8 x 75.9 x 8.6,164.8,75.9,8.6,6.49 x 2.99 x 0.34,6.49,2.99,0.34,178.0,6.28
