Device_id,SIM Type,SIM Num
9542,Nano,Dual
9542,Micro,Dual
9482,Nano,Dual
9470,Nano,Dual
9470,Micro,Dual
9360,Nano,Dual
9325,Micro,Dual
9314,Nano,Dual
9314,Micro,Dual
9307,Nano,Dual
9307,Micro,Dual
9302,Micro,Dual
9301,Micro,Dual
9277,Nano,Dual
9254,Nano,Dual
9253,Nano,Dual
9253,Micro,Dual
9223,Nano,Dual
9184,Nano,Dual
9184,Micro,Dual
9165,Nano,Dual
9165,Micro,Dual
9154,Nano,Dual
9154,Micro,Dual
9146,Micro,Dual
9146,Mini,Dual
9131,Nano,Dual
9072,Nano,Dual
9072,Micro,Dual
9064,Micro,Dual
9063,Nano,Dual
9063,Micro,Dual
9007,Micro,Dual
8835,Nano,Dual
8835,Micro,Dual
8621,Nano,Dual
8621,Micro,Dual
7892,Micro,Dual
7558,Micro,Dual
7523,Micro,Dual
6928,Micro,Dual
6928,Mini,Dual
6927,Micro,Dual
6927,Mini,Dual
6925,Micro,Dual
6925,Mini,Dual
6900,Micro,Dual
6835,Mini,Dual
6669,Micro,Dual
6565,Mini,Dual
6567,Mini,Dual
6277,Mini,Dual
6276,Mini,Dual
6244,Mini,Dual
6243,Mini,Dual
6242,Mini,Dual
5956,Micro,Dual
5955,Micro,Dual
5954,Micro,Dual
5935,Micro,Dual
5935,Mini,Dual
5909,Mini,Dual
5908,Mini,Dual
5761,Mini,Dual
5661,Mini,Dual
5660,Mini,Dual
5662,Mini,Dual
5593,Mini,Dual
5489,Mini,Dual
5458,Mini,Dual
5459,Mini,Dual
5460,Mini,Dual
5411,Mini,Dual
5360,Mini,Dual
5358,Mini,Dual
5359,Micro,Dual
5359,Mini,Dual
5295,Mini,Dual
5209,Mini,Dual
5208,Mini,Dual
5206,Mini,Dual
5023,Mini,Dual
4947,Mini,Dual
4946,Mini,Dual
4901,Mini,Dual
4370,Mini,Dual
12454,Nano,Dual
12269,Nano,Dual
12522,Nano,Dual
12523,Nano,Dual
11948,Nano,Dual
11642,Nano,Dual
10790,Nano,Dual
10681,Nano,Dual
10529,Nano,Dual
10594,Nano,Dual
10357,Nano,Dual
10593,Nano,Dual
10592,Nano,Dual
10595,Nano,Dual
10297,Nano,Dual
9965,Nano,Dual
9924,Nano,Dual
9797,Nano,Dual
9735,Nano,Dual
9734,Nano,Dual
9487,Nano,Dual
9179,Nano,Single
9179,Nano,Dual
9119,Nano,Single
9119,Nano,Dual
9102,Nano,Dual
9071,Nano,Single
9071,Nano,Dual
8990,Nano,Dual
8908,Nano,Single
8908,Nano,Dual
8885,Nano,Single
8885,Nano,Dual
8630,Nano,Single
8630,Nano,Dual
8519,Nano,Dual
8518,Nano,Dual
8444,Nano,Single
8444,Nano,Dual
8277,Nano,Dual
8884,Nano,Dual
8884,Micro,Dual
8276,Nano,Dual
8633,Nano,Dual
8128,Nano,Dual
8066,Nano,Dual
7942,Nano,Single
7942,Nano,Dual
7941,Nano,Dual
7836,Nano,Dual
7731,Nano,Dual
7753,Nano,Dual
7627,Nano,Dual
7275,Nano,Dual
7267,Nano,Dual
7194,Micro,Dual
7111,Nano,Dual
7310,Nano,Dual
7115,Nano,Dual
7183,Nano,Dual
6968,Nano,Single
6968,Nano,Dual
6947,Micro,Dual
6921,Nano,Dual
6841,Micro,Dual
6830,Micro,Single
6830,Micro,Dual
6736,Nano,Dual
6854,Nano,Dual
6637,Nano,Dual
6483,Nano,Dual
6463,Mini,Dual
6397,Nano,Single
6397,Nano,Dual
6234,Micro,Dual
6234,Mini,Dual
6316,Micro,Dual
6316,Mini,Dual
6487,Nano,Dual
5907,Micro,Dual
6552,Micro,Dual
5870,Micro,Dual
5871,Micro,Dual
5623,Micro,Single
5623,Micro,Dual
5465,Micro,Dual
5498,Micro,Dual
5261,Mini,Dual
5100,Micro,Dual
4951,Mini,Single
4951,Mini,Dual
5861,Mini,Dual
4829,Mini,Dual
4805,Mini,Dual
12720,Nano,Dual
12648,Nano,Dual
12585,Nano,Dual
12530,Nano,Dual
12259,Nano,Single
12259,Nano,Dual
12020,Nano,Dual
11918,Nano,Single
11918,Nano,Dual
11858,Nano,Single
11858,Nano,Dual
11856,Nano,Single
11856,Nano,Dual
11641,Nano,Single
11641,Nano,Dual
11489,Nano,Single
11489,Nano,Dual
11247,Nano,Dual
11328,Nano,Single
11328,Nano,Dual
11177,Nano,Dual
11120,Nano,Dual
11121,Nano,Single
11121,Nano,Dual
11048,Nano,Single
11048,Nano,Dual
11030,Nano,Dual
10755,Nano,Dual
10755,eSIM,Dual
10642,Nano,Dual
10645,Nano,Dual
10652,Nano,Dual
10579,Nano,Dual
10551,Nano,Single
10551,Nano,Dual
10550,Nano,Single
10550,Nano,Dual
10555,Nano,Dual
10519,Nano,Dual
10546,Nano,Dual
10475,Nano,Dual
10429,Nano,Dual
10417,Nano,Dual
10418,Nano,Dual
10299,Nano,Dual
10252,Nano,Dual
10292,Nano,Dual
10249,Nano,Dual
10236,Nano,Dual
10219,Nano,Single
10219,Nano,Dual
10227,Nano,Single
10227,Nano,Dual
10222,Nano,Single
10222,Nano,Dual
10223,Nano,Single
10223,Nano,Dual
10212,Nano,Dual
10203,Nano,Dual
10204,Nano,Single
10204,Nano,Dual
10205,Nano,Dual
11010,Nano,Dual
10153,Nano,Dual
10153,eSIM,Dual
10112,Nano,Dual
10073,Nano,Dual
10074,Nano,Dual
10012,Nano,Dual
9799,Nano,Dual
9956,Nano,Dual
9922,Nano,Dual
9933,Nano,Dual
9905,Nano,Dual
9887,Nano,Dual
9880,Nano,Dual
9885,Nano,Single
9885,Nano,Dual
9881,Nano,Dual
9886,Nano,Single
9886,Nano,Dual
9765,Nano,Dual
9830,Nano,Dual
9803,Nano,Dual
9746,Nano,Dual
9728,Nano,Dual
9742,Nano,Single
9742,Nano,Dual
9694,Nano,Single
9694,Nano,Dual
9705,Nano,Dual
9635,Nano,Single
9635,Nano,Dual
9530,Nano,Single
9530,Nano,Dual
9545,Nano,Single
9545,Nano,Dual
9627,Nano,Dual
9675,Nano,Single
9675,Nano,Dual
9645,Nano,Dual
9644,Nano,Dual
